Key	Type	Desc	English	German	Japanese	Korean	Spanish	Chinese (Simplified)	Thai
Items/GlassStatuePrism	Text	 [new]	"Glass Statue ""Octahedron"""	"Glas-Statue ""Oktaeder"""	ガラスの像「オクタヒドロン」	"""8면체"" 유리 조각상"	"Estatua de cristal ""Octaedro"""	玻璃雕塑“正八面体”	"รูปปั้นกระจก ""ทรงแปดหน้า"""
Items/GlassStatuePrismDesc	Text	 [new]	This bold statue serves as an art piece that puts the shiny properties of glass on display.	Diese massive Statue dient als ein Kunstwerk, das die schillernden Eigenschaften von Glas zur Schau stellen soll.	ガラスの輝きを表現する美術品の像。	이 대담한 조각상은 유리의 반짝거리는 성질을 잘 보여주는 예술품 역할을 합니다.	Esta atrevida estatua es una pieza artística que exhibe las propiedades brillantes del cristal.	这座造型鲜明的雕塑是一件艺术品，展示着玻璃那闪闪发亮的特质。	รูปปั้นอันโดดเด่นนี้ทำหน้าที่เป็นชิ้นงานศิลปะที่แสดงถึงความแวววาวของกระจก
Items/GlassWorkbench	Text	 [new]	Glass Workbench	Glas-Werkbank	ガラスの作業台	유리 작업대	Mesa de trabajo de cristal	玻璃工作台	โต๊ะทำงานกระจก
Items/GlassWorkbenchDesc	Text	 [new]	This workbench makes it possible to form glass into more advanced objects to add to your base.	Dieser Werkbank ermöglicht es, aus Glas fortschrittlichere Bauteile für deine Basis herzustellen.	ガラスで基地用の上級オブジェクトを作れる作業台。	이 작업대는 유리로 기지에 추가할 고급 사물을 만들 수 있게 해줍니다.	Gracias a esta mesa de trabajo, se puede convertir el cristal en objetos más avanzados para añadirlos a tu base.	这张工作台能够将玻璃塑造成更高级的物体，为你的据点增色。	โต๊ะทำงานนี้ทำให้สามารถใช้กระจกสร้างวัตถุขั้นสูงกว่าได้เพื่อใช้ในฐานของคุณ
Items/GlazedHeartberry	Text	 [new]	Glazed Heart Berry	Kandierte Herzbeere	シロップがけハートベリー	코팅된 원기 베리	Baya de corazón glaseada	冰糖心形莓果	ฮาร์ทเบอร์รีชุบ
Items/GlazedHeartberryDesc	Text	 [new]	A sugar-covered heart berry that's still juicy and fresh underneath. Delicious!	Eine süß ummantelte Herzbeere, die immer noch frisch und saftig ist. Köstlich!	砂糖でコーティングされたハートベリー。中はジューシーで新鮮。おいしいよ！	설탕 코팅이 덮인 원기 베리로 코팅 아래로는 여전히 과즙이 풍부하고 신선합니다. 맛있습니다!	Una jugosa y fresca baya de corazón cubierta de azúcar. ¡Deliciosa!	一颗裹着糖液的心形莓果，里面依然新鲜可口，甘甜多汁。真好吃！	ผลฮาร์ทเบอร์รีเคลือบน้ำตาล ภายในยังสดและชุ่มฉ่ำ อาหย่อย!
Items/GleamRootSeed	Text	 [new]	Gleam Wood Seed	Glimmerholz-Samen	光の木の種	어슴푸레 나무 씨앗	Semilla de madera centella	晶莹木种子	เมล็ดไม้แวววาว
Items/GleamRootSeedDesc	Text	 [new]	Once planted it spreads glowing roots in every direction. Can only be planted on prepared crystal ground.	Nach dem Einpflanzen breiten sich leuchtende Wurzeln in jede Richtung aus. Kann nur in bearbeiteten Kristallboden gepflanzt werden.	植えるとあらゆる方向に輝く根が伸びる。準備がなされた結晶の床にのみ植えることができる。	심으면 사방으로 빛나는 뿌리가 자라납니다. 일궈진 크리스털 바닥에만 심을 수 있습니다.	Una vez plantada, extiende raíces brillantes en todas direcciones. Solo se puede plantar en suelo de cristal preparado.	栽种之后会长出散发着莹光的树根，向四方延伸。只能栽种在锄过的水晶地面上。	เมื่อปลูกแล้วรากส่องสว่างจะแผ่ขยายไปทั่วทิศทาง ปลูกได้บนพื้นคริสตัลที่เตรียมไว้เท่านั้น
Items/GleamWood	Text	 [new]	Gleam Wood	Glimmerholz	光の木材	어슴푸레 나무	Madera centella	晶莹木	ไม้แวววาว
Items/GleamWoodBridge	Text	 [new]	Gleam Wood Bridge	Glimmerholz-Brücke	光り木の橋	어슴푸레 나무 다리	Puente de madera centella	晶莹木桥梁	สะพานไม้แวววาว
Items/GleamWoodBridgeDesc	Text	 [new]	An enigmatic bridge that floats in space and that can be built across water or chasms.	Eine rätselhafte Brücke, die im Nichts schwebt und über Wasser und Abgründe gebaut werden kann.	空中に浮く不思議な橋。水辺や溝の上に建設できる。	허공에 부유하는 신비로운 다리로, 물이나 깊은 틈 위에 지을 수 있습니다.	Un enigmático puente que flota en el espacio y que se puede construir para cruzar agua o simas.	一座漂浮在空中的神秘桥梁，可以建在水面或陷坑上方。	"สะพานพิศวงที่ล่องลอยในอวกาศ
สามารถสร้างข้ามน้ำหรือ
รอยแยกได้"
Items/GleamWoodDesc	Text	 [new]	A piece of glowing, crystallized wood that serves as an outstanding crafting material.	Ein Stück leuchtendes, kristallisiertes Holz, das sich hervorragend als Werkmaterial eignet.	輝く結晶化した木材。極めて優れた製作素材となる。	빛나는 결정화된 나무의 조각입니다. 제작 재료로 매우 뛰어납니다.	Un fragmento de madera cristalizada brillante. Es un excelente material de fabricación.	一块散发着莹光的结晶木材，是一种相当出色的制作材料。	"ไม้ตกผลึกส่องสว่างที่เป็นวัสดุ
ประดิษฐ์อันยอดเยี่ยม"
Items/GleamWoodDoor	Text	 [new]	Gleam Wood Door	Glimmerholz-Tür	光り木のドア	어슴푸레 나무 문	Puerta de madera centella	晶莹木门	ประตูไม้แวววาว
Items/GleamWoodDoorDesc	Text	 [new]	An unyielding door to keep adversaries at bay.	Eine unnachgiebige Tür, um Widersacher in Schach zu halten.	敵を寄せ付けないとても頑丈なドア。	적을 막아주는 굳건한 문입니다.	Una obstinada puerta para mantener a los adversarios a raya.	一扇顽强不屈的门，能抵御住来袭的敌人。	ประตูแข็งแรงที่ช่วยป้องกันศัตรู
Items/GleamWoodFence	Text	 [new]	Gleam Wood Fence	Glimmerholz-Zaun	光り木のフェンス	어슴푸레 나무 울타리	Valla de madera centella	晶莹木栅栏	รั้วไม้แวววาว
Items/GleamWoodFenceDesc	Text	 [new]	A pale, elegant fence for keeping your base safe.	Ein blasser, eleganter Zaun zum Schutz deiner Basis.	基地の安全を保つエレガントな淡い色のフェンス。	기지를 안전히 지켜주는 창백하고 우아한 울타리입니다.	Una elegante y pálida valla para mantener tu base segura.	一扇素雅的栅栏，能确保你的据点安全无虞。	"รั้วสีซีดอันแสนสง่างามที่ทำให้
ฐานทัพของคุณปลอดภัย"
Items/GleamWoodFenceGate	Text	 [new]	Gleam Wood Fence Gate	Glimmerholz-Zauntor	光り木のフェンスゲート	어슴푸레 나무 울타리 출입구	Cancela de madera centella	晶莹木栅栏门	ประตูรั้วไม้แวววาว
Items/GleamWoodFenceGateDesc	Text	 [new]	A pale, elegant gate for the gleam wood fence.	Ein blasses, elegantes Tor für den Glimmerholz-Zaun.	光り木のフェンス用のエレガントな淡い色のゲート。	어슴푸레 나무 울타리의 창백하고 우아한 출입구입니다.	Una elegante y pálida cancela para la valla de madera centella.	一扇素雅的门，可以装在晶莹木栅栏上。	"ประตูสีซีดอันแสนสง่างาม
สำหรับรั้วไม้แวววาว"
Items/GleamWoodFloor	Text	 [new]	Gleam Wood Floor	Glimmerholz-Boden	光り木の床	어슴푸레 나무 바닥	Suelo de madera centella	晶莹木地板	พื้นไม้แวววาว
Items/GleamWoodFloorDesc	Text	 [new]	An enigmatic floor decorated with patterned tiles.	Ein rätselhafter Boden, der mit gemusterten Fliesen dekoriert ist.	模様のついたタイルで装飾された不思議な床。	패턴 타일로 장식한 신비로운 바닥입니다.	Un enigmático suelo decorado con baldosas estampadas.	一块用花纹方砖装饰过的神秘地板。	พื้นพิศวงที่ประดับด้วยกระเบื้องลาย
Items/GleamWoodPlank	Text	 [new]	Gleam Wood Plank	Glimmerholz-Brett	光り木の厚板	어슴푸레 나무 널빤지	Tabla de madera centella	晶莹木板	แผ่นไม้แวววาว
Items/GleamWoodPlankDesc	Text	 [new]	A luminous wood slate for splendid carpentry work.	Eine Planke aus leuchtendem Holz, gemacht für prächtige Holzarbeiten.	輝く木の板。優れた大工仕事にもってこい。	인상적인 목공 작업용으로 만들어진 빛나는 나무 판자입니다.	Plancha de madera luminosa para un trabajo de carpintería espléndido.	会发光的木头板子，可以用来做一些灿烂华丽的木工活。	"แผ่นไม้เรืองแสงสำหรับงานไม้
อันเลอเลิศ"
Items/GlowTulipRing	Text	 [new]	Glow Tulip Ring	Leuchttulpen-Ring	発光チューリップリング	불빛 튤립 반지	Anillo de tulipán brillante	光耀郁金香戒指	แหวนทิวลิปส่องสว่าง
Items/GlowTulipRingDesc	Text	 [new]	A luminous ring that holds the essence of glow tulips.	Ein fluoreszierender Ring, der die Essenz einer Leuchttulpe in sich trägt.	発光チューリップのエキス入りの光るリング。	불빛 튤립의 정수가 담긴 빛나는 반지입니다.	Un luminoso anillo que porta la esencia de los tulipanes brillantes.	一只会发光的戒指，蕴含着光耀郁金香的精华。	แหวนส่องสว่างที่มีดอกทิวลิปเติบโตอยู่
Items/GlowingCoral	Text	 [new]	Lumen Coral	Lumen-Koralle	ルーメンサンゴ	발광 산호	Coral lumen	流明珊瑚	ปะการังลูเมน
Items/GlowingCoralDesc	Text	 [new]	A branching type of coral that gets its energy through the glowing waters of the Sunken Sea.	Eine verästelte Korallenart, die ihre Energie aus dem Wasser des Versunkenen Meeres gewinnt.	枝状サンゴの一種。沈んだ海の輝く海域からエネルギーを得ている。	침몰한 바다의 빛나는 물을 통해 에너지를 얻으며 여러 갈래로 나뉘는 산호입니다.	Un tipo de coral ramificado que extrae su energía de las fulgurantes aguas del Mar Hundido.	珊瑚的一种分支类型，能够通过沉没之海的发光水域获取能量。	ปะการังแตกหน่อที่ได้รับพลังงานผ่านน้ำส่องสว่างของทะเลใต้น้ำ
Items/GlowingTulipFlower	Text	 [new]	Glow Tulip	Leuchttulpe	発光チューリップ	불빛 튤립	Tulipán brillante	光耀郁金香	ทิวลิปส่องสว่าง
Items/GlowingTulipFlowerDesc	Text	 [new]	A precious, shimmering flower that absorbed ancient energy.	Eine wertvolle, schimmernde Blume, die uralte Energien absorbiert hat.	古代のエネルギーを取り込んだ、キラキラ光る貴重な花。	고대 에너지를 흡수한 귀중한 꽃입니다. 은은하게 빛납니다.	Una preciosa y reluciente flor que absorbió antigua energía.	一种珍奇的花，曾经吸取过上古的能量，因此微微闪烁着光芒。	ดอกไม้มีค่าเรืองแสงได้ที่ดูดซับพลังงานโบราณเอาไว้
